,movies_title,director,vote_average,release_year,budget,revenue
4264,Mixed Nuts,Nora Ephron,5.2,1994,22066673,0
4265,Blink,Michael Apted,5.8,1994,0,24521299
4266,I.Q.,Fred Schepisi,5.8,1994,36777789,0
4267,Mute Witness,Anthony Waller,5.8,1994,0,0
4268,No Escape,Martin Campbell,6.2,1994,29422231,0
4269,Milk Money,Richard Benjamin,5.5,1994,0,26682522
4270,Nell,Michael Apted,6.0,1994,0,156943796
4271,Phantasm III: Lord of the Dead,Don Coscarelli,5.5,1994,3677778,0
4272,Greedy,Jonathan Lynn,5.3,1994,0,19339198
4273,Blank Check,Rupert Wainwright,5.3,1994,19124450,0
4274,Hoop Dreams,Steve James,7.3,1994,1029778,11519702
4275,"Corrina, Corrina",Jessie Nelson,6.4,1994,0,0
4276,In the Army Now,"Daniel Petrie, Jr.",5.6,1994,0,42487564
4277,Double Dragon,James Yukich,4.2,1994,5148890,3444326
4278,The Paper,Ron Howard,5.9,1994,8826669,0
4279,Fresh,Boaz Yakin,7.5,1994,0,0
4280,Il Mostro,Roberto Benigni,6.6,1994,0,0
4281,The Road to Wellville,Alan Parker,5.3,1994,0,0
4282,The Cowboy Way,Gregg Champion,5.2,1994,0,0
4283,Lassie,Daniel Petrie,6.5,1994,0,0
4284,Before the Rain,MilÄo ManÄevski,7.3,1994,0,1123704
4285,The Ref,Ted Demme,6.8,1994,16182227,16828329
4286,Major League II,David S. Ward,5.2,1994,0,45054530
4287,Death Machine,Stephen Norrington,6.2,1994,0,2093022
4288,My Father the Hero,Steve Miner,5.1,1994,0,0
4289,North,Rob Reiner,5.2,1994,58844462,0
4290,Swimming with Sharks,George Huang,6.6,1994,0,0
4291,The Air Up There,Paul Michael Glaser,4.6,1994,25126585,30910260
4292,La citÃ© de la peur,Alain BerbÃ©rian,7.8,1994,0,0
4293,Exit to Eden,Garry Marshall,4.5,1994,0,10064712
4294,Nobody's Fool,Robert Benton,7.2,1994,0,0
4295,Trapped in Paradise,George Gallo,5.2,1994,0,8499959
4296,Jing wu ying xiong,Gordon Chan,7.5,1994,0,2806502
4297,Blue Chips,William Friedkin,5.7,1994,0,0
4298,Roadracers,Robert Rodriguez,4.7,1994,1471111,0
4299,City Slickers II: The Legend of Curly's Gold,Paul Weiland,5.0,1994,0,0
4300,Death Wish 5: The Face of Death,Allan A. Goldstein,4.3,1994,0,0
4301,Lightning Jack,Simon Wincer|Paul Hogan|Greg Coote,6.1,1994,0,0
4302,Immortal Beloved,Bernard Rose,6.7,1994,0,0
4303,Don Juan DeMarco,Jeremy Leven,6.2,1994,36777789,32658676
4304,Bad Girls,Jonathan Kaplan,4.7,1994,0,22420380
4305,I Love Trouble,Charles Shyer,5.4,1994,66200020,0
4306,Riget,Lars von Trier,6.8,1994,0,0
4307,The Little Rascals,Penelope Spheeris,6.3,1994,0,99017991
4308,Kickboxer 4: The Aggressor,Albert Pyun,4.5,1994,588444,0
4309,Leprechaun 2,Rodman Flender,5.5,1994,2942223,3325627
4310,Spanking the Monkey,David O. Russell,4.5,1994,294222,0
4311,S.F.W.,Jefery Levy,5.8,1994,0,0
4312,Baby's Day Out,Patrick Read Johnson,5.9,1994,73555578,24525643
4313,Texas Chainsaw Massacre: The Next Generation,Kim Henkel,3.9,1994,882666,273476
4314,My Girl 2,Howard Zieff,5.3,1994,0,0
4315,Surviving the Game,Ernest R. Dickerson,6.3,1994,10886225,11312867
4316,Camp Nowhere,Jonathan Prince,5.6,1994,0,0
4317,The River Wild,Curtis Hanson,6.0,1994,0,0
4318,Intersection,Mark Rydell,4.6,1994,66200020,31416901
4319,Little Odessa,James Gray,5.9,1994,0,0
4320,Cops & Robbersons,Michael Ritchie,5.2,1994,0,0
4321,Fatherland,Christopher Menaul,5.8,1994,0,0
4322,Serial Mom,John Waters,5.8,1994,19124450,11505104
4323,With Honors,Alek Keshishian,6.3,1994,0,0
4324,3 Ninjas Kick Back,Charles T. Kanganis,4.5,1994,0,0
4325,Threesome,Andrew Fleming,5.9,1994,0,0
4326,The Last Seduction,John Dahl,6.5,1994,3677778,0
4327,Iron Will,Charles Haid,6.0,1994,0,0
4328,Andre,George T. Miller,5.5,1994,0,0
4329,Monkey Trouble,Franco Amurri,6.1,1994,0,24204578
4330,A Simple Twist of Fate,Gillies MacKinnon,4.8,1994,0,0
4331,The War,Jon Avnet,6.4,1994,0,0
4332,8 Seconds,John G. Avildsen,7.0,1994,0,0
4333,Blankman,Mike Binder,4.9,1994,0,0
4334,The Scout,Michael Ritchie,5.4,1994,0,0
4335,The Puppet Masters,Stuart Orme,5.2,1994,0,12707567
4336,ã‚´ã‚¸ãƒ©vsã‚¹ãƒšãƒ¼ã‚¹ã‚´ã‚¸ãƒ©,Kensho Yamashita,5.3,1994,15152449,0
4337,Bottle Rocket,Wes Anderson,6.9,1994,0,0
4338,Crooklyn,Spike Lee,5.6,1994,0,0
4339,Backbeat,Iain Softley,6.2,1994,0,0
4340,Crumb,Terry Zwigoff,7.1,1994,0,4670330
4341,Rapa Nui,Kevin Reynolds,6.2,1994,29422231,448792
4342,Hercules and the Amazon Women,Bill L. Norton,5.7,1994,0,0
4343,Guyver: Dark Hero,Steve Wang,5.5,1994,0,0
4344,Macross Plus,Shoji Kawamori|Shinichiro Watanabe,7.1,1994,0,0
4345,Pumpkinhead II: Blood Wings,Jeff Burr,5.1,1994,0,0
4346,Twin Sitters,John Paragon,6.1,1994,0,0
4347,Men of War,Perry Lang,5.3,1994,0,0
4348,Il silenzio dei prosciutti,Ezio Greggio,4.6,1994,0,0
4349,From Beijing with Love,Stephen Chow|Lee Lik-Chi,7.2,1994,0,0
4350,Il Postino,Michael Radford,7.1,1994,0,0
4351,Brainscan,John Flynn,6.4,1994,0,6402415
4352,PCU,Hart Bochner,6.7,1994,13240004,6400473
4353,Hercules in the Underworld,Bill L. Norton,4.7,1994,0,0
4354,The Sum of Us,Kevin Dowling|Geoff Burton,5.0,1994,47,0
4355,Wing Chun,Yuen Woo-Ping,6.7,1994,0,0
4356,Hercules and the Lost Kingdom,Harley Cokeliss,5.3,1994,0,0
4357,When a Man Loves a Woman,Luis Mandoki,6.2,1994,0,73587882
4358,Hercules and the Circle of Fire,Doug Lefler,5.2,1994,0,0
4359,Wagons East!,Peter Markle,4.5,1994,0,0
4360,Hercules in the Maze of the Minotaur,Josh Becker,5.5,1994,0,0
4361,The Avengers,Joss Whedon,7.3,2012,208943741,1443191435
4362,Underworld: Awakening,MÃ¥ns MÃ¥rlind|BjÃ¶rn Stein,6.0,2012,66482099,125746142
4363,The Dark Knight Rises,Christopher Nolan,7.5,2012,237436070,1026712780
4364,Django Unchained,Quentin Tarantino,7.7,2012,94974428,403991051
4365,Skyfall,Sam Mendes,6.8,2012,189948856,1052849482
4366,The Bourne Legacy,Tony Gilroy,5.9,2012,123466756,262673566
4367,The Hobbit: An Unexpected Journey,Peter Jackson,6.9,2012,237436070,965893322
4368,Prometheus,Ridley Scott,6.2,2012,123466756,382908536
4369,Silver Linings Playbook,David O. Russell,6.9,2012,19944629,195399167
4370,The Amazing Spider-Man,Marc Webb,6.4,2012,204195020,714412708
4371,Brave,Mark Andrews|Steve Purcell|Brenda Chapman,6.6,2012,175702692,511896218
4372,Snow White and the Huntsman,Rupert Sanders,5.7,2012,161456527,376668581
4373,21 Jump Street,Phil Lord|Christopher Miller,6.7,2012,39889259,191454512
4374,Life of Pi,Ang Lee,7.1,2012,113969313,578409999
4375,Ice Age: Continental Drift,Steve Martino|Mike Thurmeier,6.2,2012,90225706,833158215
4376,Ted,Seth MacFarlane,6.4,2012,47487214,521759415
4377,Jack Reacher,Christopher McQuarrie,6.2,2012,56984656,207367731
4378,Lo imposible,Juan Antonio Bayona,6.8,2012,39889259,171214317
4379,Wreck-It Ralph,Rich Moore,7.0,2012,156707806,447541244
4380,Pitch Perfect,Jason Moore,7.2,2012,16145652,109553407
4381,Men in Black 3,Barry Sonnenfeld,6.1,2012,213692463,592665861
4382,The Hunger Games,Gary Ross,6.7,2012,71230821,656473401
4383,Total Recall,Len Wiseman,5.8,2012,118718035,188811132
4384,Cloud Atlas,Lilly Wachowski|Lana Wachowski|Tom Tykwer,6.5,2012,96873916,123925357
4385,The Expendables 2,Simon West,6.0,2012,94974428,296864820
4386,Taken 2,Olivier Megaton,6.0,2012,42738492,357238054
4387,Dark Shadows,Tim Burton,5.6,2012,142461642,233188005
4388,The Perks of Being a Wallflower,Stephen Chbosky,7.6,2012,12346675,31721458
4389,Argo,Ben Affleck,7.0,2012,42263620,220648511
4390,American Reunion,Jon Hurwitz|Hayden Schlossberg,6.0,2012,47487214,223180013
4391,Magic Mike,Steven Soderbergh,6.1,2012,6648209,158817730
4392,The Cabin in the Woods,Drew Goddard,6.5,2012,28492328,63144774
4393,Rise of the Guardians,Peter Ramsey,6.9,2012,137712920,291516095
4394,The Vow,Michael Sucsy,6.9,2012,28492328,186258691
4395,Journey 2: The Mysterious Island,Brad Peyton,5.8,2012,75029798,337817164
4396,The Paperboy,Lee Daniels,5.4,2012,11871803,1285828
4397,Safe,Boaz Yakin,6.2,2012,28492328,38318559
4398,Abraham Lincoln: Vampire Hunter,Timur Bekmambetov,5.5,2012,65532355,106623173
4399,Upside Down,Juan Diego Solanas,6.1,2012,56984656,7699078
4400,"Batman: The Dark Knight Returns, Part 1",Jay Oliva,7.6,2012,3324104,0
4401,The Lorax,Chris Renaud|Kyle Balda,6.3,2012,66482099,331309095
4402,Moonrise Kingdom,Wes Anderson,7.6,2012,15195908,64832551
4403,Starship Troopers: Invasion,Shinji Aramaki,5.6,2012,0,0
4404,Dredd,Pete Travis,6.5,2012,47487214,38975360
4405,Battleship,Peter Berg,5.5,2012,198496554,287796721
4406,LOL,Lisa Azuelos,5.8,2012,10447187,0
4407,Secret of the Wings,Roberts Gannaway|Peggy Holmes,6.5,2012,0,0
4408,This Means War,McG,5.9,2012,61733378,0
4409,Les MisÃ©rables,Tom Hooper,7.0,2012,57934401,419606302
4410,Mirror Mirror,Tarsem Singh,5.4,2012,80728263,173820794
4411,John Carter,Andrew Stanton,6.0,2012,246933513,269859485
4412,Looper,Rian Johnson,6.5,2012,28492328,44677870
4413,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,6.1,2012,113969313,787338009
4414,Zero Dark Thirty,Kathryn Bigelow,6.5,2012,37989771,126145715
4415,Haywire,Steven Soderbergh,5.5,2012,21844118,31695441
4416,Wrath of the Titans,Jonathan Liebesman,5.5,2012,142461642,285873028
4417,Step Up Revolution,Scott Speer,6.6,2012,31341561,133411287
4418,Chronicle,Josh Trank,6.5,2012,14246164,137712920
4419,Act of Valor,Mike McCoy|Scott Waugh,6.3,2012,11396931,77188344
4420,Hotel Transylvania,Genndy Tartakovsky,6.7,2012,80728263,340365179
4421,Sinister,Scott Derrickson,6.7,2012,2849232,73806944
4422,Here Comes the Boom,Frank Coraci,6.1,2012,0,69426470
4423,End of Watch,David Ayer,7.1,2012,6648209,45707757
4424,Anna Karenina,Joe Wright,6.4,2012,0,65465066
4425,Lincoln,Steven Spielberg,6.6,2012,61733378,261458379
4426,What to Expect When You're Expecting,Kirk Jones,5.7,2012,37989771,75694619
4427,The Dictator,Larry Charles,5.9,2012,61733378,170364685
4428,Iron Sky,Timo Vuorensola,5.5,2012,7123082,7726199
4429,The Lucky One,Scott Hicks,6.8,2012,23743607,94363873
4430,Project X,Nima Nourizadeh,6.5,2012,11396931,94974428
4431,Contraband,Baltasar KormÃ¡kur,6.1,2012,23743607,59928864
4432,Stuck in Love,Josh Boone,7.2,2012,0,76996
4433,Madagascar 3: Europe's Most Wanted,Eric Darnell|Tom McGrath|Conrad Vernon,6.4,2012,137712920,709384208
4434,Paperman,John Kahrs,8.0,2012,0,0
4435,Lawless,John Hillcoat,6.7,2012,24693351,50979024
4436,Gone,Heitor Dhalia,6.0,2012,0,17190550
4437,The Raven,James McTeigue,6.0,2012,24693351,28167279
4438,Rock of Ages,Adam Shankman,5.9,2012,71230821,56432487
4439,Stolen,Simon West,5.1,2012,33241049,2000690
4440,Gambit,Michael Hoffman,4.9,2012,0,0
4441,Chasing Mavericks,Curtis Hanson|Michael Apted,7.0,2012,0,0
4442,The Watch,Akiva Schaffer,5.3,2012,64582611,64837011
4443,The Pirates! In an Adventure with Scientists!,Peter Lord|Jeff Newitt,6.4,2012,56984656,112391181
4444,The Master,Paul Thomas Anderson,6.8,2012,30391817,26837930
4445,The Factory,Morgan O'Neill,5.5,2012,23743607,0
4446,The Five-Year Engagement,Nicholas Stoller,5.6,2012,28492328,51200477
4447,This Is 40,Judd Apatow,5.5,2012,33241049,83633328
4448,Lockout,Stephen St. Leger|James Mather,5.8,2012,18994885,30585593
4449,Wanderlust,David Wain,5.2,2012,33241049,22945759
4450,The Woman in Black,James Watkins,6.1,2012,16145652,121311536
4451,Frankenweenie,Tim Burton,6.5,2012,37040026,77395675
4452,That's My Boy,Sean Anders,5.6,2012,66482099,55140602
4453,Safe House,Daniel Espinosa,6.2,2012,80728263,197619185
4454,Savages,Oliver Stone,6.2,2012,42738492,44637981
4455,Get the Gringo,Adrian Grunberg,6.1,2012,33241049,0
4456,The Sweeney,Nick Love,5.7,2012,3543021,5977843
4457,The First Time,Jon Kasdan,7.1,2012,0,0
4458,Flight,Robert Zemeckis,6.4,2012,29442072,153642388
4459,Man on a Ledge,Asger Leth,6.2,2012,39889259,43898309
4460,Seven Psychopaths,Martin McDonagh,6.6,2012,14246164,18446181
4461,Big Miracle,Ken Kwapis,6.5,2012,37989771,23476933
4462,Bel Ami,Nick Ormerod|Declan Donnellan,5.1,2012,8547698,7885974
4463,Wrong Turn 5: Bloodlines,Declan O'Brien,4.9,2012,0,0
4464,Maniac,Franck Khalfoun,5.8,2012,5698465,29519
4465,Disconnect,Henry Alex Rubin,6.7,2012,9497442,3255768
4466,People Like Us,Alex Kurtzman,6.6,2012,15195908,11809859
4467,Piranha 3DD,John Gulager,4.2,2012,4748721,8066869
4468,Hitchcock,Sacha Gervasi,6.2,2012,0,22385986
4469,The Possession,Ole Bornedal,5.8,2012,13296419,81151921
4470,Silent Hill: Revelation 3D,Michael J. Bassett,5.1,2012,18994885,49674281
4471,Killing Them Softly,Andrew Dominik,5.7,2012,14246164,36024242
4472,The Cold Light of Day,Mabrouk El Mechri,4.8,2012,18994885,16016091
4473,Biohazard: Damnation,Makoto Kamiya,6.2,2012,0,0
4474,Arbitrage,Nicholas Jarecki,5.9,2012,11396931,33701729
4475,The Iceman,Ariel Vromen,6.4,2012,18994885,1870229
4476,The Campaign,Jay Roach,5.5,2012,0,99635531
4477,Now Is Good,Ol Parker,7.4,2012,0,0
4478,Red Dawn,Dan Bradley,5.3,2012,61733378,42554985
4479,Red Lights,Rodrigo CortÃ©s,6.1,2012,13296419,12870150
4480,The Three Stooges,Bobby Farrelly|Peter Farrelly,4.9,2012,28492328,52064317
4481,Hope Springs,David Frankel,5.6,2012,28492328,108537774
4482,Cleanskin,Hadi Hajaig,5.1,2012,0,0
4483,To the Wonder,Terrence Malick,5.6,2012,0,558083
4484,The Man with the Iron Fists,RZA,5.1,2012,14246164,14824126
4485,Goon,Michael Dowse,6.3,2012,0,6158106
4486,Home Alone: The Holiday Heist,Peter Hewitt,5.2,2012,0,0
4487,Byzantium,Neil Jordan,5.7,2012,0,84752
4488,A Thousand Words,Brian Robbins,5.8,2012,37989771,20936426
4489,Blue Lagoon: The Awakening,Jake Newsome,6.1,2012,0,0
4490,Passion,Brian De Palma,4.9,2012,28492328,0
4491,The Baytown Outlaws,Barry Battles,5.5,2012,3798977,0
4492,Trouble with the Curve,Robert Lorenz,6.7,2012,0,0
4493,To Rome with Love,Woody Allen,5.5,2012,16145652,69563906
4494,Chernobyl Diaries,Bradley Parker,4.8,2012,0,17202650
4495,About Cherry,Stephen Elliott,4.4,2012,2374360,2852
4496,Thanks for Sharing,Stuart Blumberg,5.6,2012,0,1012314
4497,House at the End of the Street,Mark Tonderai,5.6,2012,6553235,0
4498,Alex Cross,Rob Cohen,5.2,2012,42738492,28827808
4499,One for the Money,Julie Anne Robinson,5.2,2012,37989771,35039600
4500,Quartet,Dustin Hoffman,6.2,2012,10447187,56529062
4501,Lay the Favorite,Stephen Frears,4.9,2012,25025761,1497449
4502,The Odd Life of Timothy Green,Peter Hedges,6.5,2012,0,49248870
4503,Ruby Sparks,Jonathan Dayton|Valerie Faris,6.9,2012,0,8669515
4504,Black Rock,Katie Aselton,4.8,2012,0,0
4505,ParaNorman,Sam Fell|Chris Butler,6.6,2012,56984656,101755031
4506,Promised Land,Gus Van Sant,5.7,2012,14246164,7729767
4507,Diary of a Wimpy Kid: Dog Days,David Bowers,5.9,2012,20894374,73236848
4508,Hemingway & Gellhorn,Philip Kaufman,6.2,2012,18520013,0
4509,Great Expectations,Mike Newell,6.0,2012,0,245657
4510,The Scorpion King 3 : Battle for Redemption,Roel ReinÃ©,4.1,2012,4748721,0
4511,For Greater Glory - The True Story of Cristiada,Dean Wright,6.8,2012,11396931,9139242
4512,Red Tails,Anthony Hemingway,6.1,2012,55085168,47834228
4513,6 Bullets,Ernie Barbarash,5.0,2012,9497442,0
4514,Would You Rather,David Guy Levy,5.7,2012,0,0
4515,Fun Size,Josh Schwartz,5.4,2012,13296419,10843574
4516,Playing for Keeps,Gabriele Muccino,5.4,2012,33241049,0
4517,The Lords of Salem,Rob Zombie,4.7,2012,1424616,1107289
4518,The Dinosaur Project,Sid Bennett,4.5,2012,0,0
4519,Premium Rush,David Koepp,6.1,2012,33241049,29521470
4520,Bachelorette,Leslye Headland,5.3,2012,2849232,11347500
4521,Room on the Broom,Max Lang|Jan Lachauer,6.3,2012,0,0
4522,The Guilt Trip,Anne Fletcher,5.3,2012,37989771,39759834
4523,Ghost Recon: Alpha,FranÃ§ois Alaux|HervÃ© de CrÃ©cy,7.4,2012,0,0
4524,The Sessions,Ben Lewin,6.3,2012,949744,8679084
4525,At Any Price,Ramin Bahrani,5.5,2012,0,0
4526,Seeking a Friend for the End of the World,Lorene Scafaria,6.2,2012,9497442,9152010
4527,Tangled Ever After,Nathan Greno|Byron Howard,7.2,2012,0,0
4528,Won't Back Down,Daniel Barnz,5.2,2012,0,5043668
4529,AstÃ©rix & ObÃ©lix - Au service de Sa MajestÃ©,Laurent Tirard,4.9,2012,57934401,0
4530,The Words,Brian Klugman|Lee Sternthal,6.3,2012,5698465,12566504
4531,Erased,Philipp StÃ¶lzl,5.5,2012,11396931,0
4532,StreetDance 2,Max Giwa|Dania Pasquini,5.3,2012,0,0
4533,Kon-Tiki,Joachim RÃ¸nning|Espen Sandberg,6.9,2012,15765755,0
4534,Paranormal Activity 4,Henry Joost|Ariel Schulman,5.3,2012,4748721,135640571
4535,Venuto al mondo,Sergio Castellitto,6.8,2012,12346675,17375
4536,On the Road,Walter Salles,5.6,2012,23743607,8342855
4537,360,Fernando Meirelles,5.7,2012,0,1580308
4538,Universal Soldier: Day of Reckoning,John Hyams,5.1,2012,10922059,1331833
4539,Fortress,Mike Phillips,5.5,2012,4748721,0
4540,Dracula 3D,Dario Argento,3.3,2012,5318567,7729
4541,Antiviral,Brandon Cronenberg,5.7,2012,2279386,0
4542,The Bay,Barry Levinson,5.4,2012,0,29126
4543,Bernie,Richard Linklater,6.3,2012,0,0
4544,Maximum Conviction,Keoni Waxman,4.6,2012,0,0
4545,So Undercover,Tom Vaughan,5.7,2012,0,0
4546,Radio Rebel,Peter Howitt,5.8,2012,0,0
4547,London 2012 Olympic Opening Ceremony: Isles of Wonder,Danny Boyle,8.3,2012,0,0
4548,Much Ado About Nothing,Joss Whedon,7.1,2012,0,0
4549,Io e te,Bernardo Bertolucci,5.6,2012,0,0
4550,"For a Good Time, Call...",Jamie Travis,5.8,2012,807282,1181444
4551,Laurence Anyways,Xavier Dolan,7.5,2012,9022570,0
4552,Truth or Dare,Robert Heath,5.6,2012,0,0
4553,A Turtleâ€™s Tale 2: Sammyâ€™s Escape From Paradise,Ben Stassen|Vincent Kesteloot,5.7,2012,0,0
4554,Tooth Fairy 2,Alex Zamm,4.9,2012,4748721,0
4555,Girl in Progress,Patricia Riggen,5.3,2012,4748721,0
4556,Parental Guidance,Andy Fickman,5.9,2012,23743607,113752992
4557,Grave Encounters 2,John Poliquin,5.1,2012,0,0
4558,V/H/S,Matt Bettinelli-Olpin|David Bruckner|Tyler Gillett|Justin Martinez|Glenn McQuaid|Joe Swanberg|Chad Villella|Ti West|Adam Wingard|Radio Silence,5.8,2012,0,95302
4559,Hyde Park on Hudson,Roger Michell,5.2,2012,0,8440950
4560,The Devil Inside,William Brent Bell,4.5,2012,949744,96644543
4561,Flukt,Roar Uthaug,5.4,2012,0,0
4562,Chained,Jennifer Chambers Lynch,6.3,2012,0,0
4563,The Collection,Marcus Dunstan,5.8,2012,0,6498205
4564,Dark Tide,John Stockwell,4.9,2012,23743607,410549
4565,The Tall Man,Pascal Laugier,5.6,2012,17285345,0
4566,Broken,Rufus Norris,6.3,2012,0,0
4567,Camille redouble,NoÃ©mie Lvovsky,5.9,2012,0,0
4568,Starlet,Sean Baker,6.5,2012,0,0
4569,Emperor,Peter Webber,6.0,2012,0,3178096
4570,The Philadelphia Experiment,Paul Ziller,4.2,2012,0,0
4571,Think Like a Man,Tim Story,6.6,2012,11396931,91242414
4572,Saints and Soldiers: Airborne Creed,Ryan Little,5.0,2012,0,0
4573,Hit & Run,David Palmer|Dax Shepard,5.4,2012,1899488,13676317
4574,Branded,Jamie Bradshaw|Aleksandr Dulerayn,4.6,2012,0,0
4575,Seal Team Six: The Raid on Osama Bin Laden,John Stockwell,5.6,2012,0,0
4576,Stand Up Guys,Fisher Stevens,5.8,2012,0,0
4577,The Brass Teapot,Ramaa Mosley,5.6,2012,0,0
4578,Burning Bright,Carlos Brooks,5.3,2012,0,0
4579,Marvel One-Shot: Item 47,Louis D'Esposito,6.7,2012,0,0
4580,Come Out and Play,Makinov,4.9,2012,0,0
4581,Deadfall,Stefan Ruzowitzky,5.5,2012,11396931,63016
4582,Arthur Newman,Dante Ariola,5.5,2012,0,0
4583,John Dies at the End,Don Coscarelli,5.9,2012,0,0
4584,Liberal Arts,Josh Radnor,6.1,2012,0,0
4585,Cirque du Soleil: Worlds Away,Andrew Adamson,5.9,2012,0,32436712
4586,Sightseers,Ben Wheatley,6.0,2012,0,58677
4587,Compliance,Craig Zobel,6.3,2012,0,303239
4588,Excision,Richard Bates Jr.,5.9,2012,0,0
4589,Tong que tai,Zhao Lin-Shan,5.6,2012,0,0
4590,The Company You Keep,Robert Redford,5.8,2012,0,18646355
4591,ATM,David Brooks,5.5,2012,2849232,2858
4592,Soldiers of Fortune,Maksim Korostyshevsky,4.9,2012,7597954,0
4593,Abraham Lincoln vs. Zombies,Richard Schenkman,4.1,2012,142461,0
4594,Beasts of the Southern Wild,Benh Zeitlin,6.6,2012,1709539,20046961
4595,The Last Will and Testament of Rosalind Leigh,Rodrigo GudiÃ±o,4.7,2012,0,0
4596,The Swan Princess Christmas,Richard Rich,6.4,2012,37989771,0
4597,7 Below,Kevin Carraway,4.5,2012,5698465,0
4598,My Awkward Sexual Adventure,Sean Garrity,5.4,2012,0,42975
4599,A Bride for Christmas,Gary Yates,5.8,2012,0,0
4600,Imaginaerum,Stobe Harju,6.0,2012,4060156,0
4601,Holy Motors,Leos Carax,6.7,2012,0,608881
4602,Zambezia,Wayne Thornley,5.1,2012,18994885,0
4603,Fire with Fire,David Barrett,5.7,2012,18994885,4403174
4604,Safety Not Guaranteed,Colin Trevorrow,6.7,2012,712308,3806377
4605,Partysaurus Rex,Mark A. Walsh,7.5,2012,0,0
4606,Leviathan,Lucien Castaing-Taylor|Verena Paravel,6.0,2012,0,0
4607,Rosewood Lane,Victor Salva,5.0,2012,0,0
4608,I Am Bruce Lee,Pete McCormack,7.0,2012,0,0
4609,Eden,Megan Griffiths,6.5,2012,0,0
4610,What Richard Did,Lenny Abrahamson,4.9,2012,0,0
4611,The Samaritan,David Weaver,4.7,2012,11396931,2394
4612,Small Apartments,Jonas Ã…kerlund,5.1,2012,1899488,0
4613,PromociÃ³n Fantasma,Javier Ruiz Caldera,5.5,2012,0,0
4614,The Apparition,Todd Lincoln ,4.4,2012,16145652,9143655
4615,Eating Out: The Open Weekend,Q. Allan Brocka,6.5,2012,0,0
4616,Werewolf: The Beast Among Us,Louis Morneau,4.7,2012,4748721,0
4617,Halo 4: Forward Unto Dawn,Stewart Hendler,6.5,2012,11871803,0
4618,The Thompsons,The Butcher Brothers,4.0,2012,2849232,0
4619,Not Suitable For Children,Peter Templeman,5.5,2012,0,0
4620,Lovely Molly,Eduardo SÃ¡nchez,4.6,2012,949744,0
4621,Outpost: Black Sun,Steve Barker,3.7,2012,2849232,0
4622,The Babymakers,Jay Chandrasekhar,4.8,2012,0,0
4623,Bad Ass,Craig Moss,5.4,2012,0,0
4624,2 Days in New York,Julie Delpy,5.3,2012,7597954,1570679
4625,The Forger,Lawrence Roeck,6.8,2012,0,0
4626,Ginger & Rosa,Sally Potter,6.3,2012,0,955157
4627,El Gringo,Eduardo RodrÃ­guez,4.8,2012,2849232,0
4628,Robot & Frank,Jake Schreier,6.7,2012,2374360,3157935
4629,The Motel Life,Alan Polsky|Gabe Polsky,4.9,2012,0,0
4630,Frenemies,Daisy von Scherler Mayer,5.1,2012,0,0
4631,Bait,Kimble Rendall,5.2,2012,28492328,0
4632,The Battery,Jeremy Gardner,5.7,2012,0,0
4633,Battlestar Galactica: Blood & Chrome,Jonas Pate,6.6,2012,0,0
4634,Dragon Eyes,John Hyams,4.1,2012,2849232,0
4635,Cosmopolis,David Cronenberg,4.8,2012,19469757,5758827
4636,Extracted,Nir Paniry,5.5,2012,0,0
4637,Marley,Kevin Macdonald,7.4,2012,0,0
4638,Airborne,Dominic Burns,3.3,2012,0,0
4639,"3, 2, 1... Frankie Go Boom",Jordan Roberts,5.2,2012,0,0
4640,Dungeons & Dragons: The Book of Vile Darkness,Gerry Lively,4.1,2012,11396931,0
4641,Cockneys vs Zombies,Matthias Hoene,5.6,2012,0,0
4642,Hijacked,Brandon Nutt,2.9,2012,0,0
4643,Blood,Nick Murphy ,6.0,2012,0,0
4644,Loosies,Michael Corrente,6.1,2012,0,0
4645,Side by Side,Christopher Kenneally,7.0,2012,0,0
4646,Thunderstruck,John Whitesell,5.8,2012,0,0
4647,Nazis at the Center of the Earth,Joseph J. Lawson,3.1,2012,0,0
4648,Goats,Christopher Neil,5.7,2012,2849232,0
4649,Citadel,Ciaran Foy,4.8,2012,0,0
4650,The Seasoning House,Paul Hyett,6.4,2012,0,0
4651,The Sapphires,Wayne Blair,6.4,2012,0,0
4652,Sushi Girl,Kern Saxton,5.2,2012,1899488,0
4653,Rebelle,Kim Nguyen,5.6,2012,0,0
4654,Freelancers,Jessy Terrero,4.7,2012,10447187,0
4655,Game Change,Jay Roach,6.1,2012,0,0
4656,The Outback,Kyung Ho Lee,4.7,2012,5033644,0
4657,Grupo 7,Alberto RodrÃ­guez,5.5,2012,3324104,0
4658,Hello I Must Be Going,Todd Louiso,5.4,2012,0,0
4659,Love at the Christmas Table,Rachel Goldenberg,6.2,2012,0,0
4660,Apartment 1303 3D,Michael Taverna,4.0,2012,4748721,0
4661,Grimm's Snow White,Rachel Goldenberg,6.1,2012,0,0
4662,Atlas Shrugged Part II,John Putch,5.5,2012,0,0
4663,100 Bloody Acres,Cameron Cairnes|Colin Cairnes,5.5,2012,0,0
4664,Cesare deve morire,Paolo Taviani|Vittorio Taviani,6.2,2012,0,0
4665,Into the White,Petter NÃ¦ss,6.5,2012,0,668
4666,Take This Waltz,Sarah Polley,6.3,2012,0,0
4667,The Butterfly Room,Jonathan Zarantonello,5.7,2012,0,1026
